Словоформа	Часть речи
зарегистрированы	VERB
145	NUM
шаманок	NOUN
соответствующие	VERB
членские	ADJ
обществ	NOUN
числятся	VERB
начинающими	VERB
специализируются	VERB
несложных	ADJ
культовых	ADJ
очищении	NOUN
семейного	ADJ
законе	NOUN
свободе	NOUN
объединениях	NOUN
упоминается	VERB
поддерживают	VERB
шериг-оол	NOUN
ооржак	PROPN
приветствием	NOUN
подчеркнув	VERB
рассматривает	VERB
древнейших	ADJ
пластов	NOUN
духовной	ADJ
осознавая	VERB
духовных	ADJ
корней	NOUN
впредь	ADV
оказывать	VERB
всемерную	ADJ
поддержку	NOUN
усилиям	NOUN
занимающихся	VERB
способствовать	VERB
поддержка	NOUN
сказалась	VERB
финансовую	ADJ
заботу	NOUN
взяло	VERB
правительство	NOUN
создавшее	VERB
оргкомитет	NOUN
вице-премьером	NOUN
алдын-кыс	PROPN
конгаром	PROPN
выделившее	VERB
республиканской	ADJ
казны	NOUN
140	NUM
монгуша	PROPN
кенин-лопсана	PROPN
xxi	ADJ
век	NOUN
веком	NOUN
предстоящих	ADJ
встречах	NOUN
проблемам	NOUN
поднимать	VERB
официальном	ADJ
современное	ADJ
благодарно	ADV
тувинскому	ADJ
народу	NOUN
сохранил	VERB
древнейшее	ADJ
верование	NOUN
первозданном	ADJ
фриды	PROPN
возвращают	VERB
имена	NOUN
незаслуженно	ADV
забытых	VERB
художников	NOUN
выставкой	NOUN
давида	PROPN
якерсона	PROPN
личных	ADJ
коллекций	NOUN
анисфельда	PROPN
графических	ADJ
представил	VERB
лев	NOUN
зевин	PROPN
1903	ADJ
1942	ADJ
мальчика	NOUN
нищего	ADJ
витебского	ADJ
ремесленника	NOUN
учителя	NOUN
мировыми	ADJ
именами	NOUN
пэн	PROPN
чью	DET
прошли	VERB
осип	NOUN
цадкин	PROPN
лазарь	PROPN
лисицкий	PROPN
обративший	VERB
акварели	NOUN
зевина	PROPN
отъезда	NOUN
юного	ADJ
покровительство	NOUN
казимир	PROPN
малевич	NOUN
учителем	NOUN
оборвалась	VERB
доброволец	NOUN
погиб	VERB
вязьмой	PROPN
называл	VERB
роберта	PROPN
фалька	PROPN
1921	ADJ
преподававшего	VERB
витебске	PROPN
возвращением	NOUN
фальк	PROPN
пригласил	VERB
вхутемасе	PROPN
обаятельный	ADJ
пылкий	ADJ
запомнился	VERB
наставникам	NOUN
назвал	VERB
биографа	NOUN
учениках	NOUN
намеревался	VERB
посвятить	VERB
талантливым	ADJ
учеником	NOUN
биография	NOUN
богата	ADJ
выдающимися	ADJ
ассистентом	NOUN
ездил	VERB
командировки	NOUN
биробиджан	PROPN
херсонские	ADJ
колхозы	NOUN
оформил	VERB
рисовал	VERB
иллюстрации	NOUN
книгам	NOUN
художнических	ADJ
объединений	NOUN
тогдашней	ADJ
критики	NOUN
тих	ADJ
меланхолии	NOUN
сближает	VERB
старыми	ADJ
русскими	ADJ
художниками	NOUN
отрывает	VERB
действительности	NOUN
уставал	VERB
рисовать	VERB
фрида	PROPN
сын	NOUN
скромные	ADJ
восьмиметровой	ADJ
коммуналке	NOUN
крошечная	ADJ
дачка	NOUN
подмосковье	PROPN
камерны	ADJ
сдержанны	ADJ
полны	ADJ
драматизма	NOUN
приобрели	VERB
провинциальных	ADJ
третьяковке	PROPN
отвечали	VERB
соцреализма	NOUN
музейщикам	NOUN
заурядность	NOUN
биографии	NOUN
готовящейся	VERB
книге	NOUN
живописцах	NOUN
оказавшихся	VERB
обочине	NOUN
художественного	ADJ
льве	PROPN
зевине	PROPN
путин	PROPN
затребовал	VERB
центробанка	PROPN
либерализации	NOUN
валютного	ADJ
регулирования	NOUN
отменить	VERB
обязательную	ADJ
валютной	ADJ
выручки	NOUN
цб	PROPN
экспортер	NOUN
норматив	NOUN
введен	VERB
подачи	NOUN
дефолта	NOUN
проста	ADJ
финансовый	ADJ
лишил	VERB
валютных	ADJ
резервов	NOUN
контора	NOUN
инструкций	NOUN
закон	NOUN
приступил	VERB
массированной	ADJ
закупке	NOUN
экспортеров	NOUN
резервы	NOUN
расти	VERB
29	NUM
млрд	NOUN
рубля	NOUN
центробанк	PROPN
помогал	VERB
правительству	NOUN
вернуло	VERB
желать	VERB
цену	NOUN
откупая	VERB
валюту	NOUN
запускает	VERB
хозяйство	NOUN
рубли	NOUN
экспортной	ADJ
нефтедолларов	NOUN
перебор	NOUN
излишки	NOUN
провоцируют	VERB
инфляцию	NOUN
давят	VERB
ограничивает	VERB
распорядиться	VERB
усмотрению	NOUN
обязательная	ADJ
продажа	NOUN
норма	NOUN
экзотическая	ADJ
пространствах	NOUN
снг	PROPN
мера	NOUN
временная	ADJ
пригодна	ADJ
стабильно	ADV
отменять	VERB
сторонники	NOUN
оставит	VERB
избавит	VERB
обязаловки	NOUN
отвернет	VERB
российским	ADJ
банкам	NOUN
снабжать	VERB
импортеров	NOUN
продадут	VERB
валюта	NOUN
внешнего	ADJ
долга	NOUN
снизим	VERB
печатают	VERB
поддержим	VERB
заживем	VERB
цивилизованные	ADJ
резервами	NOUN
навалом	ADV
труднее	ADJ
растревожится	VERB
валютный	ADJ
подстраиваться	VERB
условиям	NOUN
курс	NOUN
вероятностью	NOUN
вмешиваться	VERB
медленнее	ADJ
тратить	VERB
испытают	VERB
двойную	ADJ
приход	NOUN
тройную	ADJ
наотрез	ADV
отказывается	VERB
внешнему	ADJ
долгу	NOUN
заглянем	VERB
бабушкин	ADJ
сундук	NOUN
весны	NOUN
имели	VERB
мвф	PROPN
удержались	VERB
турция	PROPN
располагала	VERB
рухнула	VERB
лирой	NOUN
нынешние	ADJ
валютные	ADJ
хочется	VERB
либерализацию	NOUN
стоило	VERB
перейти	VERB
осени	NOUN
прояснится	VERB
долгами	NOUN
нефтяными	ADJ
ценами	NOUN
напор	NOUN
пересмотре	NOUN
норматива	NOUN
обязательной	ADJ
продажи	NOUN
заинтересованы	VERB
заработают	VERB
валютном	ADJ
обесценят	VERB
рублевые	ADJ
долги	NOUN
экспортеры	NOUN
либералы	NOUN
принципа	NOUN
кооператив	NOUN
падающего	VERB
либерализация	NOUN
хорошее	ADJ
понимаются	VERB
свобода	PROPN
перспективное	ADJ
либеральное	ADJ
обернуться	VERB
легализацией	NOUN
оттока	NOUN
неуютно	ADJ
отгонять	VERB
рубеж	NOUN
по-серому	ADV
побаиваются	VERB
по-белому	ADV
культурно	ADV
прилично	ADJ
нелегко	ADJ
любыми	DET
предлогами	NOUN
препятствуют	VERB
открытию	NOUN
счетов	NOUN
съесть	VERB
съест	VERB
"даст"""	VERB
обретение	NOUN
акт	NOUN
продолжительный	ADJ
закрыта	VERB
сестра	NOUN
лариса	PROPN
вальцева	PROPN
потеряла	VERB
слух	NOUN
подставлять	VERB
собеседник	NOUN
тягостно	ADJ
перепутало	VERB
перемешивают	VERB
костяшки	NOUN
игрой	NOUN
домино	NOUN
сверстников	NOUN
кончала	VERB
миша	PROPN
неустроев	PROPN
многое	DET
изменилось	VERB
жила	VERB
эвакуацию	NOUN
бийске	PROPN
семьях	NOUN
переместилось	VERB
жениться	VERB
выйти	VERB
выросли	VERB
война	NOUN
погнала	VERB
смешала	VERB
сроки	NOUN
десятикласснице	NOUN
ларисе	PROPN
вальцевой	PROPN
неустроенно	ADV
начинаешь	VERB
страшиться	VERB
одиночества	NOUN
зеркалам	NOUN
веришь	VERB
молод	ADJ
зеркала	NOUN
фальшивить	VERB
лгут	VERB
грубо	ADV
сглаживается	VERB
глухотой	NOUN
уныние	NOUN
вянут	VERB
душевно	ADJ
вянет	VERB
становился	VERB
глуше	ADJ
слышащий	VERB
углублен	ADJ
невольно	ADV
старит	VERB
игнатьевна	PROPN
болела	VERB
сердцем	NOUN
сердечная	ADJ
обострилась	VERB
проводила	VERB
похороны	NOUN
матери	NOUN
калуги	PROPN
двоюродная	ADJ
ларисы	PROPN
васильевны	PROPN
глаша	PROPN
вдвоем	ADV
опустевшей	VERB
напрягая	VERB
будешь	AUX
ларочка	PROPN
покорно	ADV
как-нибудь	ADV
ответила	VERB
рослая	ADJ
деловая	ADJ
работавшая	VERB
бухгалтером	NOUN
спичечной	ADJ
фабрике	NOUN
решительно	ADV
бросай	VERB
калуга	PROPN
понравится	VERB
найдем	VERB
полегче	ADJ
расслышала	VERB
повторила	VERB
громче	ADJ
глашенька	PROPN
училась	VERB
школе	NOUN
тяготило	VERB
признаваться	VERB
слышит	VERB
старались	VERB
поздороваться	VERB
обижать	VERB
утвердительно	ADV
кивнула	VERB
переспрашивать	VERB
калугу	PROPN
швейная	ADJ
резной	ADJ
шкатулке	NOUN
лежало	VERB
начатое	VERB
рукоделье	NOUN
висели	VERB
портреты	NOUN
отца	NOUN
молодыми	ADJ
уложенными	VERB
короной	NOUN
отец	NOUN
лбом	NOUN
никуда	ADV
выходила	VERB
приводила	VERB
нашла	VERB
пачку	NOUN
женихом	NOUN
нежности	NOUN
попали	VERB
кому-нибудь	PRON
постороннему	NOUN
сложила	VERB
сжечь	VERB
случится	VERB
читая	VERB
квартире	NOUN
этажом	NOUN
старая	ADJ
корректорша	NOUN
людмила	PROPN
петровна	PROPN
волжина	PROPN
кряду	ADV
издательстве	NOUN
седая	ADJ
старушка	NOUN
пенсию	NOUN
уходила	VERB
брала	VERB
надевала	VERB
круглыми	ADJ
озорными	ADJ
подростка	NOUN
оживленная	ADJ
моторчик	NOUN
зашла	VERB
васильевне	PROPN
торопливая	ADJ
энергичная	ADJ
энергичным	ADJ
звонким	ADJ
голосом	NOUN
прокричала	VERB
милая	ADJ
скуксились	VERB
вечны	ADJ
старенькая	ADJ
помогать	VERB
сверке	NOUN
вслух	ADV
оригинал	NOUN
сверять	VERB
верстке	NOUN
начнете	VERB
подрабатывать	VERB
литература	NOUN
почитаем	VERB
роман	PROPN
шахтерской	ADJ
шахтер	NOUN
шахтеры	NOUN
перестала	VERB
преисподней	NOUN
удовольствием	NOUN
отозвалась	VERB
услышав	VERB
произнесенное	VERB
волжиной	PROPN
справлюсь	VERB
справитесь	VERB
положитесь	VERB
почитайте	VERB
вами	PRON
начнем	VERB
оставила	VERB
верстку	NOUN
принялась	VERB
шахтерах	NOUN
начинался	VERB
давних	ADJ
шахты	NOUN
горняков	NOUN
торопитесь	VERB
читайте	VERB
маме	NOUN
читали	VERB
сели	VERB
тихим	ADJ
временам	NOUN
останавливала	VERB
вносила	VERB
поправки	NOUN
добрая	ADJ
украшает	VERB
будит	VERB
вернее	ADV
книга	NOUN
найдешь	VERB
сверили	VERB
некоторое	DET
принесла	VERB
повесть	NOUN
потихоньку	ADV
купила	VERB
толковый	ADJ
словарь	NOUN
встречались	VERB
добро	ADJ
беспредельна	ADJ
прилет	NOUN
птиц	NOUN
целая	ADJ
стая	NOUN
слышала	VERB
повышая	VERB
услышать	VERB
полезной	ADJ
уйду	VERB
передам	VERB
корректорам	NOUN
литературу	NOUN
полюбите	VERB
попадаются	VERB
неважные	ADJ
учишься	VERB
повела	VERB
ларису	PROPN
издательство	NOUN
корректорской	NOUN
сидело	VERB
склонены	VERB
корректурами	NOUN
шевелили	VERB
текст	NOUN
заведующая	NOUN
низенькая	ADJ
полная	ADJ
розалия	PROPN
яковлевна	PROPN
усиками	NOUN
мягкими	ADJ
добрыми	ADJ
имейте	VERB
шепотом	NOUN
выражению	NOUN
доброе	ADJ
пожала	VERB
пухлые	ADJ
верстки	NOUN
влажные	ADJ
научилась	VERB
корректорским	ADJ
знакам	NOUN
похожим	ADJ
клинопись	NOUN
обратить	VERB
ошибку	NOUN
несла	VERB
очередную	ADJ
встретил	VERB
лестнице	NOUN
преподаватель	NOUN
николаевич	PROPN
устиев	PROPN
начавший	VERB
седеть	VERB
правильными	ADJ
печального	ADJ
умерла	VERB
встречала	VERB
овощном	ADJ
молочной	ADJ
булочной	NOUN
почувствовать	VERB
теряет	VERB
нужное	ADJ
письменных	ADJ
очередному	ADJ
занятию	NOUN
решался	VERB
заглянули	VERB
раздельно	ADV
услышала	VERB
удобно	ADJ
условились	VERB
зайдет	VERB
вернется	VERB
двухкомнатной	ADJ
квартирке	NOUN
неприбрано	ADJ
уборки	NOUN
газовой	ADJ
плите	NOUN
кухне	NOUN
невымытые	ADJ
кастрюльки	NOUN
отнесетесь	VERB
стеснительно	ADV
просьба	NOUN
купите	VERB
уделите	VERB
скажешь	VERB
условии	NOUN
стеснит	VERB
привереда	NOUN
труд	NOUN
скажете	VERB
смущен	ADJ
ерошил	VERB
начавшие	VERB
белеть	VERB
правде	NOUN
подумывала	VERB
куплю	VERB
чудесно	ADJ
решился	VERB
вашу	DET
почувствуешь	VERB
уважал	VERB
прибавилось	VERB
обязывающее	VERB
требовало	VERB
понимания	NOUN
верстка	NOUN
дышит	VERB
наспех	ADV
покупала	VERB
выискивала	VERB
повкуснее	ADJ
стояло	VERB
готовое	ADJ
разогреть	VERB
заходить	VERB
занятий	NOUN
магазин	NOUN
булочную	NOUN
пообедав	VERB
отдохнув	VERB
садиться	VERB
тетрадки	NOUN
письменными	ADJ
работами	NOUN
конспекты	NOUN
скомканные	VERB
рубахи	NOUN
выстирала	VERB
выгладила	VERB
теплые	ADJ
утюга	NOUN
зашел	VERB
версткой	NOUN
тронут	VERB
вашим	DET
прошу	VERB
делайте	VERB
признаться	VERB
встревожилась	VERB
по-товарищески	ADV
хозяйству	NOUN
стирка	NOUN
ларисочка	PROPN
литературе	NOUN
рассказывается	VERB
добре	NOUN
хорошем	ADJ
добрым	ADJ
хорошим	ADJ
оценил	VERB
золото	NOUN
одиноко	ADJ
испуганно	ADV
говорите	VERB
отношусь	VERB
обняла	VERB
взяла	VERB
обеими	NUM
наклонила	VERB
поцеловала	VERB
следить	VERB
причесываетесь	VERB
прическа	NOUN
плоско	ADV
приглаживаете	VERB
фальшивят	VERB
парикмахерскую	NOUN
парикмахер	NOUN
примерял	VERB
зеркало	NOUN
сделало	VERB
поблажку	NOUN
взбитыми	VERB
собранными	VERB
оживляется	VERB
вялым	ADJ
расправляет	VERB
привезенные	VERB
юга	NOUN
цветная	ADJ
капуста	NOUN
кочана	NOUN
развела	VERB
сухарями	NOUN
устиеву	PROPN
представляла	VERB
зажжет	VERB
удивится	VERB
цветной	ADJ
капусте	NOUN
наверно	ADV
покачает	VERB
майские	ADJ
нежный	ADJ
голубоватый	ADJ
дымок	NOUN
приникающий	VERB
окнам	NOUN
понесла	VERB
вычитанную	VERB
встретила	VERB
устиева	PROPN
ниоткуда	ADV
дожидаясь	VERB
куда-нибудь	ADV
балтику	PROPN
отдохнуть	VERB
вечерам	NOUN
представишь	VERB
вечерних	ADJ
курсов	NOUN
спросить	VERB
избаловали	VERB
встречаешь	VERB
заключено	VERB
добра	NOUN
пугаешься	VERB
утратить	VERB
поезжайте	VERB
недослышав	VERB
долгая	ADJ
просматривая	VERB
корректурные	ADJ
замечаете	VERB
ошибки	NOUN
опечатки	NOUN
вопросительно	ADV
находить	VERB
погрешности	NOUN
стараться	VERB
загадочно	ADJ
отчетливым	ADJ
сочувственной	ADJ
душой	NOUN
прекрасная	ADJ
описал	VERB
напишешь	VERB
темнеющей	VERB
балтике	PROPN
потеплее	ADV
занесла	VERB
спустилась	VERB
устиевым	PROPN
майских	ADJ
сумерек	NOUN
запахами	NOUN
красками	NOUN
краскам	NOUN
запахам	NOUN
напрягать	VERB
приватизация	NOUN
законодательные	ADJ
запреты	NOUN
снос	NOUN
исторической	ADJ
пугающие	VERB
масштабы	NOUN
сносят	VERB
строят	VERB
естественном	ADJ
противозаконного	ADJ
громких	ADJ
скандалов	NOUN
усадьбы	NOUN
римских-корсаковых	PROPN
трубецких	PROPN
усачева	PROPN
сгорел	VERB
обстоятельствах	NOUN
железобетонную	ADJ
доходный	ADJ
памятник	NOUN
знаменского	PROPN
переулка	NOUN
знаменке	PROPN
причта	NOUN
церкви	NOUN
николы	PROPN
стрелецкого	ADJ
ампирных	ADJ
особняков	NOUN
пушкинских	ADJ
старинная	ADJ
усадьба	NOUN
1-му	ADJ
казачьему	ADJ
переулку	NOUN
снесена	VERB
новодел	NOUN
утерянного	VERB
продолжать	VERB
предусматривающие	VERB
частичную	ADJ
перестройку	NOUN
зданий	NOUN
реконструкции	NOUN
рядов	NOUN
гумом	NOUN
предусматривающий	VERB
дворовых	ADJ
корпусов	NOUN
уникального	ADJ
архитектурного	ADJ
ансамбля	NOUN
объекту	NOUN
везет	VERB
подминающую	VERB
старую	ADJ
прост	PART
расположены	ADJ
экономически	ADV
невыгодно	ADJ
инвесторы	NOUN
любят	VERB
термины	NOUN
наследие	NOUN
обязательств	NOUN
накладывают	VERB
достойно	ADJ
содержать	VERB
сохранять	VERB
недвижимое	ADJ
достояние	NOUN
неэффективными	ADJ
делаются	VERB
физическое	ADJ
актуализации	NOUN
непримиримое	ADJ
выгоду	NOUN
владения	NOUN
историческим	ADJ
сохранить	VERB
потомков	NOUN
парадоксально	ADJ
исключают	VERB
приватизации	NOUN
флигель	NOUN
одинокий	ADJ
городах	NOUN
яростных	ADJ
споров	NOUN
защитников	NOUN
избушку	NOUN
прошлых	ADJ
градообразования	NOUN
питера	PROPN
строившегося	VERB
четким	ADJ
планам	NOUN
схемам	NOUN
сложилась	VERB
стихийно	ADV
усадеб	NOUN
усадьбочек	NOUN
градостроительной	ADJ
азиатский	ADJ
колорит	NOUN
воспринимали	VERB
первопрестольную	ADJ
xviii	ADJ
таковым	ADJ
состояла	VERB
монастырей	NOUN
слобод	NOUN
открытые	ADJ
пейзажные	ADJ
оставшиеся	VERB
гравюрах	NOUN
парадных	ADJ
набережных	ADJ
елизаветинские	ADJ
екатерининские	ADJ
дворцы	NOUN
улиц	NOUN
бывал	VERB
вспомогательные	ADJ
челядью	NOUN
конюшнями	NOUN
искусствознания	NOUN
искусствоведения	NOUN
комеч	PROPN
геометрии	NOUN
улицы	NOUN
нашему	DET
выпрямлять	VERB
страдали	VERB
теряли	VERB
дожившие	VERB
раздроблены	VERB
какую-либо	DET
усадьбу	NOUN
целиком	ADV
застроены	VERB
урезаны	VERB
перекроены	VERB
зданиями	NOUN
входившими	VERB
ансамбль	NOUN
кварталы	NOUN
оторвавшийся	VERB
пристальной	ADJ
заботы	NOUN
досадная	ADJ
помеха	NOUN
градостроителей	NOUN
принят	VERB
памятниках	NOUN
единичный	ADJ
небольшим	ADJ
двором	NOUN
входить	VERB
закону	NOUN
охраны	NOUN
оформляться	VERB
деление	NOUN
измельчение	NOUN
усадебных	ADJ
выявлению	NOUN
единиц	NOUN
думая	VERB
культурном	ADJ
наследии	NOUN
боремся	VERB
исполняла	VERB
собственные	ADJ
законы	NOUN
нелюбовь	NOUN
отеческим	ADJ
гробам	NOUN
конфликта	NOUN
инвестора	NOUN
конфликт	NOUN
стагнации	NOUN
яростные	ADJ
защитники	NOUN
соглашаются	VERB
застройку	NOUN
общехозяйственной	ADJ
снести	VERB
выгоднее	ADJ
сноса	NOUN
лишения	NOUN
статуса	NOUN
целенаправленного	ADJ
руинирования	NOUN
забросить	VERB
довести	VERB
метро	NOUN
фрунзенская	PROPN
деревянный	ADJ
изразцовыми	ADJ
печами	NOUN
художественными	ADJ
паркетом	NOUN
потолками	NOUN
сожгли	VERB
бетонную	ADJ
оригинала	NOUN
девальвируем	VERB
подлинности	NOUN
перестает	VERB
привлекательным	ADJ
ухоженности	NOUN
опрятности	NOUN
цивилизованных	VERB
тверской	ADJ
поедут	VERB
неповторимо	ADJ
уникально	ADJ
исчезает	VERB
открылся	VERB
модный	ADJ
культурным	ADJ
строительстве	NOUN
комеча	PROPN
настоящая	ADJ
аналогичных	ADJ
жертвуя	VERB
подлинниками	NOUN
снимают	VERB
колоссальную	ADJ
инвестор	NOUN
подписывает	VERB
обязательство	NOUN
воспринимают	VERB
головную	ADJ
необязательный	ADJ
констатирует	VERB
досадуя	VERB
негибкое	ADJ
инвесторам	NOUN
оценкой	NOUN
солидарен	ADJ
виссарион	PROPN
алявдин	PROPN
фонд	NOUN
ориентирован	VERB
спасение	NOUN
визитной	ADJ
собственников	NOUN
корпораций	NOUN
немузеи	NOUN
федеральное	ADJ
выполняло	VERB
поддерживало	VERB
музейные	ADJ
сокровищницы	NOUN
лучшем	ADJ
знаменитой	ADJ
жемчужине	NOUN
подмосковья	PROPN
архангельском	NOUN
закрыт	VERB
восстановлен	VERB
гонзаго	PROPN
грант	NOUN
зарубежного	ADJ
прекраснодушничали	VERB
корпоративных	ADJ
соединить	VERB
небезразлично	ADJ
удачной	ADJ
кораллово	NOUN
звенигорода	PROPN
санаторий	NOUN
упадок	NOUN
корпоративный	ADJ
минатом	PROPN
нефтяная	ADJ
идеальное	ADJ
ограничен	VERB
перешло	VERB
принятия	NOUN
закона	NOUN
определяет	VERB
купли	NOUN
договор	NOUN
предусматривать	VERB
дни	NOUN
посещения	NOUN
музейной	ADJ
посвященной	VERB
приветлива	ADJ
середниково	NOUN
фирсановка	PROPN
находился	VERB
туберкулезный	ADJ
обидно	ADJ
именем	NOUN
лермонтова	PROPN
изменилась	VERB
хозяину	NOUN
ассоциация	NOUN
поэта	NOUN
лермонтовское	ADJ
объединяющая	VERB
зарубежья	NOUN
собственник	NOUN
вменяемым	VERB
дезинфекции	NOUN
дезактивации	NOUN
снимались	VERB
штукатурка	NOUN
прекрасном	ADJ
помогло	VERB
сыграло	VERB
председатель	NOUN
крупной	ADJ
металлургической	ADJ
главном	ADJ
флигеле	NOUN
загородных	ADJ
чаяний	NOUN
состоятельных	ADJ
потерявших	VERB
коттеджному	ADJ
строительству	NOUN
усадьбе	NOUN
управляющий	VERB
похуже	ADJ
растаскивают	VERB
вложенные	VERB
окупаться	VERB
частично	ADV
богатой	ADJ
историей	NOUN
замков	NOUN
наилучшем	ADJ
свадьбы	NOUN
праздничные	ADJ
форумы	NOUN
съемки	NOUN
фильмов	NOUN
аукционы	NOUN
антикварные	ADJ
салоны	NOUN
замки	NOUN
опорными	ADJ
базами	NOUN
охотников	NOUN
рыболовов	NOUN
превратить	VERB
нереально	ADV
просветительскую	ADJ
даем	VERB
переложить	VERB
плеч	NOUN
подходе	NOUN
перестроят	VERB
невелика	ADJ
купил	VERB
суды	NOUN
ансамбли	NOUN
построек	NOUN
разрушены	VERB
технологиям	NOUN
уцелевших	VERB
фундаментов	NOUN
строительную	ADJ
контролировать	VERB
аренды	NOUN
памятнике	NOUN
правах	NOUN
рискуют	VERB
развертывать	VERB
опасения	NOUN
чиновники	NOUN
найдут	VERB
расторжения	NOUN
арендного	ADJ
приватизировать	VERB
федерального	ADJ
значения	NOUN
федеральной	ADJ
муниципальной	ADJ
собственности	NOUN
тезис	NOUN
проработан	VERB
худшем	ADJ
детализирующий	VERB
передачу	NOUN
взаимные	ADJ
обязательства	NOUN
статьи	NOUN
чиновникам	NOUN
ограничивать	VERB
предпринимательскую	ADJ
инициативу	NOUN
готовых	ADJ
вкладывать	VERB
реконструкцию	NOUN
закрепленные	VERB
сузить	VERB
инвестиционного	ADJ
теми	DET
возможностями	NOUN
предоставляет	VERB
гражданский	ADJ
кодекс	NOUN
ревнителей	NOUN
наученные	VERB
горьким	ADJ
пробивают	VERB
ограничений	NOUN
справиться	VERB
берите	VERB
аварийном	ADJ
создайте	VERB
инвестору	NOUN
льготные	ADJ
налогами	NOUN
платят	VERB
безопасный	ADJ
послание	NOUN
президента	NOUN
федеральному	ADJ
собранию	NOUN
обращался	VERB
16	NUM
залу	NOUN
уважаемые	ADJ
коллеги	NOUN
депутаты	NOUN
думы	NOUN
члены	NOUN
граждане	NOUN
точнее	ADV
собранные	VERB
послания	NOUN
конкретным	ADJ
пенсионеров	NOUN
патриотов	NOUN
либералов	NOUN
попыталась	VERB
показавшихся	VERB
значимыми	ADJ
призывникам	NOUN
объявил	VERB
2008	ADJ
призыву	NOUN
нынешних	ADJ
горячих	ADJ
контрактники	NOUN
подарок	NOUN
потенциальным	ADJ
отсрочку	NOUN
звучит	VERB
срока	NOUN
ударить	VERB
подпадает	VERB
существующие	VERB
отсрочки	NOUN
минобороны	PROPN
призывного	ADJ
возраста	NOUN
оспаривать	VERB
сокращения	NOUN
маловероятно	ADJ
решат	VERB
спорить	VERB
главнокомандующим	NOUN
резкому	ADJ
сокращению	NOUN
отсрочек	NOUN
освобождений	NOUN
депутатов	NOUN
внести	VERB
службе	NOUN
воинской	ADJ
аргументы	NOUN
по-своему	ADV
логичны	ADJ
справедливо	ADV
отечества	NOUN
долг	NOUN
мужского	ADJ
исполняет	VERB
десятый	ADJ
численность	NOUN
достаточном	ADJ
отрыв	NOUN
учебы	NOUN
нанести	VERB
непоправимый	ADJ
студенческого	ADJ
академического	ADJ
правозащитников	NOUN
выбить	VERB
имеющейся	VERB
массовом	ADJ
пополняться	VERB
контрактниками	NOUN
призывников	NOUN
утвердит	VERB
федеральную	ADJ
перехода	NOUN
контрактный	ADJ
комплектования	NOUN
скромны	ADJ
изначально	ADV
документ	NOUN
предполагал	VERB
переведены	VERB
170	NUM
тыс.	NOUN
солдатских	ADJ
сержантских	ADJ
207	NUM
соединениях	NOUN
91	NUM
сухопутных	ADJ
войсках	NOUN
83	NUM
погранвойсках	NOUN
фсб	PROPN
железнодорожных	ADJ
мвд	PROPN
запросили	VERB
реализацию	NOUN
154	NUM
распорядилось	VERB
сократить	VERB
расходы	NOUN
сократили	VERB
условного	ADJ
контрактника	NOUN
частей	NOUN
переводимых	VERB
155	NUM
исключив	VERB
железнодорожные	ADJ
общее	ADJ
контрактников	NOUN
сократится	VERB
700	NUM
проходящих	VERB
службу	NOUN
последней	ADJ
надеждой	NOUN
очередные	ADJ
парламентские	ADJ
выборы	NOUN
предвыборной	ADJ
кампании	NOUN
военным	ADJ
убедить	VERB
непопулярные	ADJ
сокращен	VERB
учитывать	VERB
президентских	ADJ
полномочий	NOUN
владимира	PROPN
путина	PROPN
истекает	VERB
весной	NOUN
обещанным	VERB
сроком	NOUN
аналогичный	ADJ
1996	ADJ
борис	PROPN
ельцин	PROPN
подписал	VERB
указ	NOUN
отмене	NOUN
призыва	NOUN
истекал	VERB
президентства	NOUN
переизбираться	VERB
президенту	NOUN
ельцину	PROPN
отказался	VERB
обещания	NOUN
соотечественникам	NOUN
особое	ADJ
послании	NOUN
заняла	VERB
тема	NOUN
гражданства	NOUN
июля	NOUN
гражданстве	NOUN
настояла	VERB
принятии	NOUN
поправок	NOUN
ужесточающих	VERB
отметил	VERB
приехавших	VERB
распада	NOUN
оформивших	VERB
российское	ADJ
гражданство	NOUN
прежним	ADJ
либеральным	ADJ
вступления	NOUN
месяца	NOUN
госдуме	PROPN
рассматривались	VERB
смягчить	VERB
живущих	VERB
соответствующей	ADJ
думские	ADJ
центристы	NOUN
провалили	VERB
политики	NOUN
выиграют	VERB
воссоединиться	VERB
проще	ADJ
ближнего	ADJ
близок	ADJ
говорим	VERB
льготного	ADJ
предоставляться	VERB
упрощенном	VERB
жителям	NOUN
прослужат	VERB
контракту	NOUN
включение	NOUN
соотечественников	NOUN
льготников	NOUN
возвращение	NOUN
старому	ADJ
варианту	NOUN
затевать	VERB
принятие	NOUN
ограничиться	VERB
изъятием	NOUN
устаревших	ADJ
положений	NOUN
пострадавших	VERB
кремлевской	ADJ
лоббировали	VERB
ужесточающие	VERB
главой	NOUN
подготовившей	VERB
замруководителя	NOUN
виктор	PROPN
миграционная	ADJ
служба	NOUN
главными	ADJ
сторонниками	NOUN
жесткого	ADJ
предоставления	NOUN
прочего	DET
позволял	VERB
заработать	VERB
компетентным	ADJ
расстаться	VERB
левых	ADJ
доходах	NOUN
потрудиться	VERB
выполнить	VERB
наведению	NOUN
миграционных	ADJ
потоках	NOUN
обязанностей	NOUN
снимает	VERB
чеченцам	NOUN
ахмату	PROPN
кадырову	PROPN
президентское	ADJ
подарком	NOUN
исполняющего	VERB
чечни	PROPN
похвалили	VERB
